Abortiporus biennis
Amanita conicoverrucosa
Amanita constricta
Amanita contui
Amanita cordae
Amanita cornelii
Amanita corticelli
Amanita coryli
Amanita costaricensis
Amanita cothurnata
Amanita craseoderma
Amanita crassa
Amanita crassifoliata
Amanita crassivolata
Amanita crebresulcata
Amanita crematelloides
Amanita crenulata
Amanita crocea
Amanita cruzii
Amanita cryptoleuca
Amanita curta
Amanita curtipes
Amanita cyanochlorinosma
Amanita cyanopus
Amanita cylindrispora
Amanita cylindrisporiformis
Amanita cystidiosa
Amanita daucipes
Amanita decipiens
Amanita demissa
Amanita detersa
Amanita dhakuriana
Amanita diemii
Amanita digitosa
Amanita djarilmari
Amanita dolichosporus
Amanita domingensis
Amanita drummondii
Amanita dryophila
Amanita dulciodora
Amanita dunensis
Amanita dunicola
Amanita duplex
Amanita dyschromatus
Amanita eburnea
Amanita echinocephala
Amanita echinulata
Amanita effusa
Amanita egregia
Amanita egreginus
Amanita eijii
Amanita elata
Amanita electra
Amanita elegans
Amanita elephas
Amanita eliae
Amanita elliptica
Amanita elliptosperma
Amanita elongata
Amanita elongatospora
Amanita emodotrygon
Amanita eriophora
Amanita erythrocephala
Amanita esculenta
Amanita eucalypti
Amanita excelsa
Amanita exilis
Amanita exitialis
Amanita farinacea
Amanita farinosa
Amanita fense
Amanita fibrillopes
Amanita fibrilosa
Amanita flaccida
Amanita flammeola
Amanita flavella
Amanita flavidocerea
Amanita flavidogrisea
Amanita flavipes
Amanita flaviphylla
Amanita flavivolva
Amanita flavoalba
Amanita flavoconia
Amanita flavofloccosa
Amanita flavogala
Amanita flavopantherina
Amanita flavorubescens
Amanita flavosquamosa
Amanita floccocephala
Amanita floccosolivida
Amanita floridana
Amanita foetidissima
Amanita formicaria
Amanita forrestiae
Amanita franchetii
Amanita franzii
Amanita fraterna
Amanita friabilis
Amanita fritillaria
Amanita frostiana
Amanita fuliginea
Amanita fuligineodisca
Amanita fuligineoides
Amanita fuliginosa
Amanita fulva
Amanita fulvaurantia
Amanita fulvoalba
Amanita fulvoides
Amanita fulvopulverulenta
Amanita fulvopyramidalis
Amanita fulvosquamulosa
Amanita fuscobrunnea
Amanita fuscoflava
Amanita fuscosquamosa
Amanita fuscostriata
Amanita galactica
Amanita garabitoana
Amanita gardneri
Amanita gemmata
Amanita gilbertii
Amanita gioiosa
Amanita giselae
Amanita glabriceps
Amanita glarea
Amanita gloeocystidiosa
Amanita glutinosa
Amanita goossensfontanae
Amanita goossensiae
Amanita gossypinoannulata
Amanita gracilenta
Amanita gracilior
Amanita grallipes
Amanita grandis
Amanita grandispora
Amanita granulata
Amanita grauiana
Amanita grisea
Amanita grisella
Amanita griselloides
Amanita griseobrunnea
Amanita griseocaerulea
Amanita griseoconia
Amanita griseofarinosa
Amanita griseofolia
Amanita griseofusca
Amanita griseopantherina
Amanita griseorosea
Amanita griseostrobilacea
Amanita griseoturcosa
Amanita griseoumbonata
Amanita griseovelata
Amanita griseoverrucosa
Amanita groenlandica
Amanita grossa
Amanita guyanensis
Amanita guzmanii
Amanita gwyniana
Amanita gymnopus
Amanita hamadae
Amanita harkoneniana
Amanita hayalyuy
Amanita heishidingensis
Amanita helianthemicola
Amanita hemibapha
Amanita herrerae
Amanita heterochroma
Amanita hiltonii
Amanita hongoi
Amanita hortorius
Amanita hovae
Amanita huijsmanii
Amanita humboldtii
Amanita hunanensis
Amanita hygroscopica
Amanita ibotengutake
Amanita illudens
Amanita imazekii
Amanita incarnatifolia
Amanita incentricus
Amanita inculta
Amanita indica
Amanita indogrisea
Amanita infusca
Amanita ingrata
Amanita ingwa
Amanita innatifibrilla
Amanita inodora
Amanita inopinata
Amanita intermedia
Amanita inzengae
Amanita irreperta
Amanita islandica
Amanita jacksonii
Amanita jacoblangei
Amanita japonica
Amanita javanica
Amanita kalamundae
Amanita kalasinensis
Amanita kammala
Amanita karea
Amanita kitamagotake
Amanita komarekensis
Amanita konajensis
Amanita konkanensis
Amanita kotohiraensis
Amanita kwangsiensis
Amanita labordei
Amanita lactea
Amanita lanei
Amanita lanigera
Amanita lanivolva
Amanita lanosa
Amanita lanosula
Amanita laurae
Amanita lavendula
Amanita lepiotoides
Amanita lesueurii
Amanita levistriata
Amanita lignitincta
Amanita lignophila
Amanita lilloi
Amanita limbatula
Amanita lippiae
Amanita liquii
Amanita lividopallescens
Amanita longipes
Amanita longistriata
Amanita longitibiale
Amanita loosei
Amanita lusitanica
Amanita luteivolvata
Amanita luteoflava
Amanita luteofolia
Amanita luteofusca
Amanita luteolamellata
Amanita luteolovelata
Amanita luteoparva
Amanita lutescens
Amanita macrocarpa
Amanita macrospora
Amanita madagascariensis
Amanita mafingensis
Amanita magnivelaris
Amanita magniverrucata
Amanita magnivolvata
Amanita mairei
Amanita malayensis
Amanita malheurensis
Amanita malodora
Amanita manicata
Amanita manilensis
Amanita mansehraensis
Amanita margarita
Amanita marginata
Amanita marmorata
Amanita masasiensis
Amanita mcalpineana
Amanita media
Amanita melleialba
Amanita melleiceps
Amanita merxmuelleri
Amanita microlepis
Amanita microspora
Amanita miculifera
Amanita millsii
Amanita minima
Amanita minutisquama
Amanita miomboensis
Amanita mira
Amanita modesta
Amanita molliuscula
Amanita morenoi
Amanita morrisii
Amanita mortenii
Amanita multicingulata
Amanita multisquamosa
Amanita mumura
Amanita murinacea
Amanita murinaster
Amanita muriniflammea
Amanita murrilliana
Amanita muscaria
Amanita muscoides
Amanita mutabilis
Amanita nana
Amanita nauseosa
Amanita neglecta
Amanita nehuta
Amanita neocinctipes
Amanita neomurina
Amanita neoneglecta
Amanita neo-ovoidea
Amanita nigrescens
Amanita nivalis
Amanita nothofagi
Amanita nouhrae
Amanita novinupta
Amanita oberwinkleriana
Amanita oblongospora
Amanita obsita
Amanita occidentalis
Amanita ochracea
Amanita ochraceobulbosa
Amanita ochrophylla
Amanita ochrophylloides
Amanita ochroterrea
Amanita ocreata
Amanita odorata
Amanita odorifera
Amanita oleosa
Amanita olivacea
Amanita olivaceobrunnea
Amanita olivaceofusca
Amanita olivaceogrisea
Amanita olivovaginata
Amanita oreina
Amanita orientalis
Amanita orienticrocea
Amanita orientifulva
Amanita orientigemmata
Amanita orientisororia
Amanita orsonii
Amanita ovalispora
Amanita ovoidea
Amanita pachycolea
Amanita pachysperma
Amanita pachyvolvata
Amanita pagetodes
Amanita pakistanica
Amanita pallidobrunnea
Amanita pallidocarnea
Amanita pallidochlorotica
Amanita pallidochracea
Amanita pallidoflavescens
Amanita pallidofumosa
Amanita pallidogrisea
Amanita pallidorosea
Amanita pallidoverruca
Amanita pallidozonata
Amanita paludosa
Amanita pannosa
Amanita pantherina
Amanita pantherinoides
Amanita parcivolvata
Amanita pareparina
Amanita parva
Amanita parvicurta
Amanita parviexitialis
Amanita parviformis
Amanita parvifritillaria
Amanita parvipantherina
Amanita parvirufobrunnescens
Amanita parvivirginea
Amanita pausiaca
Amanita peckiana
Amanita pekeoides
Amanita pelioma
Amanita pellucidula
Amanita peltigera
Amanita perpasta
Amanita perphaea
Amanita persicina
Amanita petalinovolva
Amanita phaea
Amanita phalloides
Amanita picea
Amanita pilosella
Amanita pini
Amanita pinophila
Amanita pleropus
Amanita polcovius
Amanita ponderosa
Amanita populiphila
Amanita porphyria
Amanita porrinensis
Amanita praeclara
Amanita praegraveolens
Amanita praelongipes
Amanita praelongispora
Amanita prairiicola
Amanita preissii
Amanita princeps
Amanita privigna
Amanita protecta
Amanita proxima
Amanita prudens
Amanita pruittii
Amanita psammolimbata
Amanita pseudoarenaria
Amanita pseudogemmata
Amanita pseudoinculta
Amanita pseudomanginiana
Amanita pseudopantherina
Amanita pseudoporphyria
Amanita pseudoprinceps
Amanita pseudoregalis
Amanita pseudorufobrunnescens
Amanita pseudospreta
Amanita pseudosychnopyramis
Amanita pseudovaginata
Amanita pseudovalens
Amanita pseudoverna
Amanita pudibunda
Amanita pudica
Amanita pulchella
Amanita pulverotecta
Amanita pulverulenta
Amanita pumatona
Amanita pumila
Amanita pupatju
Amanita pyramidata
Amanita pyramidifera
Amanita pyramidiferina
Amanita pyriformis
Amanita queletii
Amanita quenda
Amanita radiata
Amanita rajendrae
Amanita ravicrocina
Amanita recutitiformis
Amanita regalis
Amanita reidiana
Amanita reidii
Amanita retenta
Amanita rhacopus
Amanita rhoadsii
Amanita rhodophylla
Amanita rhopalopus
Amanita rimosa
Amanita ristichii
Amanita roanokensis
Amanita robusta
Amanita romagnesiana
Amanita rosea
Amanita roseolamellata
Amanita roseolescens
Amanita roseolifolia
Amanita roseophylla
Amanita roseotincta
Amanita rubescens
Amanita rubiginosa
Amanita rubroflava
Amanita rubromarginata
Amanita rubrovolvata
Amanita rufobrunnescens
Amanita rufoferruginea
Amanita russuloides
Amanita sabulicola
Amanita sabulosa
Amanita salmonea
Amanita salmonescens
Amanita sampajensis
Amanita savannae
Amanita schaefferi
Amanita sculpta
Amanita sepiacea
Amanita sepultipes
Amanita shennongjiana
Amanita shorea
Amanita siamensis
Amanita sichotensis
Amanita silvatica
Amanita silvicola
Amanita silvifuga
Amanita simlensis
Amanita simulans
Amanita sinensis
Amanita singeri
Amanita sinicoflava
Amanita sinocitrina
Amanita sinofulva
Amanita smithiana
Amanita solaniolens
Amanita solitariiformis
Amanita sordidobubalina
Amanita sordidogrisea
Amanita sordidoides
Amanita sororcula
Amanita spadicea
Amanita sphaerobulbosa
Amanita spissacea
Amanita sponsa
Amanita spreta
Amanita spretella
Amanita squamosa
Amanita squarrosa
Amanita squarrosipes
Amanita stenospora
Amanita sternbergii
Amanita stranella
Amanita striatuloides
Amanita strobilaceoides
Amanita strobilaceovolvata
Amanita strobiliformis
Amanita strobilipes
Amanita strophiolata
Amanita subalbida
Amanita suballiacea
Amanita subcaligata
Amanita subcitriniceps
Amanita suberis
Amanita subfraudulenta
Amanita subfrostiana
Amanita subfuliginea
Amanita subfuliginosa
Amanita subglobosa
Amanita subhemibapha
Amanita subjunquillea
Amanita sublutea
Amanita sublutescens
Amanita submaculata
Amanita submelleialba
Amanita submembranacea
Amanita submutabilis
Amanita subnudipes
Amanita suborientifulva
Amanita subovalispora
Amanita subpallidorosea
Amanita subparcivolvata
Amanita subparvipantherina
Amanita subphalloides
Amanita subrecutita
Amanita subremota
Amanita subsolitaria
Amanita subspissa
Amanita subtropicana
Amanita subvaginata
Amanita subvirginiana
Amanita subviscosa
Amanita subvolvata
Amanita sulcatissima
Amanita sulphurea
Amanita sumatrensis
Amanita supravolvata
Amanita sychnopyramis
Amanita taiepa
Amanita tarda
Amanita tecomate
Amanita tenacipulvis
Amanita tenuifolia
Amanita tenuifulva
Amanita tephropluteus
Amanita theioleuca
Amanita thiersii
Amanita timida
Amanita tjibodensis
Amanita tomentosivolva
Amanita torrendii
Amanita toxica
Amanita tristis
Amanita tullossiana
Amanita tullossii
Amanita tuza
Amanita uapacae
Amanita umbrinella
Amanita umbrinelloides
Amanita umbrinidisca
Amanita ushuaiensis
Amanita vaginata
Amanita valens
Amanita variabilis
Amanita variicolor
Amanita velatipes
Amanita veldiei
Amanita velosa
Amanita verna
Amanita vernella
Amanita vernicoccora
Amanita verniformis
Amanita verrucosivolva
Amanita vestita
Amanita vidua
Amanita violettae
Amanita virella
Amanita virginea
Amanita virgineoides
Amanita virginiana
Amanita viridissima
Amanita virosa
Amanita virosiformis
Amanita viscidolutea
Amanita vittadinii
Amanita vladimirii
Amanita volvarielloides
Amanita volvata
Amanita wadjukiorum
Amanita wadulawitu
Amanita walpolei
Amanita watlingii
Amanita watsoniana
Amanita wellsii
Amanita westii
Amanita xanthella
Amanita xanthocephala
Amanita xanthogala
Amanita xanthomargaros
Amanita xenokommosis
Amanita xerocybe
Amanita xylinivolva
Amanita yema
Amanita yenii
Amanita yuaniana
Amanita yucatanensis
Amanita zambiana
Amanita zonata
Amaropostia stiptica
Amarrendia lignicolor
Amarrendia nemoribus
Amarrendia peridiocrystalia
Amaurodon atrocyaneus
Amaurodon cyaneus
Amaurodon viridis
Amaurodon wakefieldiae
Amoenoboletus granulopunctatus
Amoenoboletus mcrobbii
Amoenoboletus phoeniculus
Amoenoboletus weberi
Amphinema angustispora
Amphinema arachispora
Amphinema byssoides
Amphinema diadema
Amylascus herbertianus
Amylascus tasmanicus
Amylocorticiellum molle
Amylosporus campbellii
Amylostereum areolatum
Amylostereum chailletii
Amylostereum laevigatum
Amylotrama clelandii
Andebbia pachythrix
Anthracobia intermixta
Anthracobia macrocystis
Anthracobia maurilabra
Anthracobia melaloma
Anthracobia muelleri
Anthracobia nitida
Anthracobia subatra
Anthracobia tristis
Anthracobia uncinata
Anthracoporus holophaeus
Anthracoporus nigropurpureus
Aphelaria dendroides
Aphelaria guadelupensis
Aphelaria trachodes
Aphroditeola olida
Arcangeliella ambigua
Arcangeliella beccarii
Arcangeliella brunneola
Arcangeliella claridgei
Arcangeliella corkii
Arcangeliella curtisii
Arcangeliella daucina
Arcangeliella ellipsoidea
Arcangeliella laevis
Arcangeliella luteocarnea
Arcangeliella magna
Arcangeliella major
Arcangeliella mitsueae
Arcangeliella occidentalis
Arcangeliella rosea
Arcangeliella socialis
Arcangeliella tenax
Arenaea javanica
Armillaria socialis
Aroramyces balanosporus
Aroramyces gelatinosporus
Aroramyces guanajuatensis
Aroramyces herrerae
Aroramyces radiatus
Arrhenia auriscalpium
Arrhenia glauca
Arrhenia lobata
Arrhenia peltigerina
Arrhenia polycephala
Arrhenia retiruga
Arrhenia rickenii
Arrhenia spathulata
Artomyces cristatus
Artomyces pyxidatus
Ascobolus brassicae
Ascobolus furfuraceus
Ascobolus orientalis
Ascobolus scatigenus
Ascocoryne lilacina
Ascocoryne sarcoides
Ascophanus alpigenus
Ascophanus brunneopallidus
Ascophanus caninus
Ascophanus citrinellus
Ascophanus cynocoprus
Ascophanus gallinaceus
Ascophanus globosopulvinatus
Ascophanus glumarum
Ascophanus limnicola
Ascophanus patouillardii
Ascophanus pictilis
Ascophanus subfuscus
Ascophanus vinosus
Ascophanus zamurensis
Ascosparassis shimizuensis
Aspidella albofloccosa
Aspidella aureofloccosa
Aspidella bubalina
Aspidella foetens
Aspidella gemmifera
Aspidella hesleri
Aspidella solitaria
Aspidella zangii
Asproinocybe nodulospora
Aspropaxillus giganteus
Aspropaxillus lepistoides
Astraeus asiaticus
Astraeus hygrometricus
Astraeus koreanus
Astraeus morganii
Astraeus odoratus
Astraeus pteridis
Astraeus ryoocheoninii
Astraeus sapidus
Astraeus sirindhorniae
Astraeus smithii
Astraeus telleriae
Astrosporina mundula
Atheliachaete sanguinea
Athelia epiphylla
Atractosporocybe inornata
Aurantiolachnea solsequia
Aureoboletus abruptibulbus
Aureoboletus auriflammeus
Aureoboletus auriporus
Aureoboletus betula
Aureoboletus catenarius
Aureoboletus citriniporus
Aureoboletus clavatus
Aureoboletus duplicatoporus
Aureoboletus erythraeus
Aureoboletus flavimarginatus
Aureoboletus flaviporus
Aureoboletus formosus
Aureoboletus garciae
Aureoboletus gentilis
Aureoboletus glutinosus
Aureoboletus griseorufescens
Aureoboletus guangdongensis
Aureoboletus innixus
Aureoboletus liquidus
Aureoboletus longicollis
Aureoboletus marroninus
Aureoboletus microcarpus
Aureoboletus minimus
Aureoboletus mirabilis
Aureoboletus moravicus
Aureoboletus nanlingensis
Aureoboletus nephrosporus
Aureoboletus projectellus
Aureoboletus pseudoauriporus
Aureoboletus quercus-spinosae
Aureoboletus raphanaceus
Aureoboletus roxanae
Aureoboletus rubellus
Aureoboletus rugosus
Aureoboletus russellii
Aureoboletus shichianus
Aureoboletus singeri
Aureoboletus sinobadius
Aureoboletus solus
Aureoboletus subacidus
Aureoboletus tenuis
Aureoboletus thibetanus
Aureoboletus tomentosus
Aureoboletus velutipes
Aureoboletus venustus
Aureoboletus viridiflavus
Aureoboletus viscidipes
Aureoboletus viscosus
Aureoboletus yunnanensis
Aureoboletus zangii
Aureonarius armiae
Aureonarius aurantiobrunneus
Aureonarius austrolimonius
Aureonarius callisteus
Aureonarius caryotis
Aureonarius caryotoides
Aureonarius collybianus
Aureonarius controversus
Aureonarius eucollybianus
Aureonarius infucatus
Aureonarius kroegeri
Aureonarius limonius
Aureonarius neocallisteus
Aureonarius rubrimarginatus
Aureonarius rubrocastaneus
Aureonarius rubrodactylus
Aureonarius tofaceus
Aureonarius viscilaetus
Auricularia mesenterica
Auriscalpium andinum
Auriscalpium fimbriatoincisum
Auriscalpium luteolum
Auriscalpium villipes
Auriscalpium vulgare
Auritella arenicolens
Auritella aureoplumosa
Auritella brunnescens
Auritella chamaecephala
Auritella dolichocystis
Auritella erythroxa
Auritella foveata
Auritella fulvella
Auritella geoaustralis
Auritella hispida
Auritella robusta
Auritella serpentinocystis
Auritella spiculosa
Aurophora dochmia
Austroboletus albidus
Austroboletus albovirescens
Austroboletus amazonicus
Austroboletus appendiculatus
Austroboletus asper
Austroboletus austrovirens
Austroboletus brunneisquamus
Austroboletus cornalinus
Austroboletus dictyotus
Austroboletus eburneus
Austroboletus festivus
Austroboletus fusisporus
Austroboletus graciliaffinis
Austroboletus gracilis
Austroboletus heterospermus
Austroboletus lacunosus
Austroboletus latitubulosus
Austroboletus malaccensis
Austroboletus mucosus
Austroboletus mutabilis
Austroboletus neotropicalis
Austroboletus occidentalis
Austroboletus olivaceobrunneus
Austroboletus olivaceoglutinosus
Austroboletus olivaceus
Austroboletus purpurascens
Austroboletus rarus
Austroboletus rionegrensis
Austroboletus roseialbus
Austroboletus rostrupii
Austroboletus rubiicolor
Austroboletus subflavidus
Austroboletus subvirens
Austroboletus trinitatensis
Austroboletus tristis
Austroboletus viscidoviridis
Austroboletus yourkae
Austrocortinarius australiensis
Austrocortinarius victoriaensis
Austrogaster baeospermus
Austrogaster marthae
Austrogautieria chlorospora
Austrogautieria clelandii
Austrogautieria costata
Austrogautieria macrospora
Austrogautieria manjimupana
Austrogautieria octorugosa
Austrogautieria rodwayi
Austropaxillus boletinoides
Austropaxillus chilensis
Austropaxillus contulmensis
Austropaxillus infundibuliformis
Austropaxillus mcnabbii
Austropaxillus muelleri
Austropaxillus nothofagi
Austropaxillus squarrosus
Austropaxillus statuum
Balsamia aestivalis
Balsamia alba
Balsamia ambigua
Balsamia cascadensis
Balsamia filamentosa
Balsamia fragiformis
Balsamia fusispora
Balsamia gunerii
Balsamia guozigouensis
Balsamia hellenica
Balsamia latispora
Balsamia lazyana
Balsamia limuwensis
Balsamia lishanensis
Balsamia luyashanensis
Balsamia magnata
Balsamia maroccana
Balsamia nigrans
Balsamia oblonga
Balsamia oregonensis
Balsamia pallida
Balsamia platyspora
Balsamia polysperma
Balsamia quercicola
Balsamia setchellii
Balsamia trappei
Balsamia vulgaris
Baltazaria galactina
Bankera cinerea
Bankera mollis
Bankera violacea
Baorangia alexandri
Baorangia bicolor
Baorangia duplicatopora
Baorangia emileorum
Baorangia major
Baorangia pseudocalopus
Baorangia rufomaculata
Barssia peyronelii
Barssia yezomontana
Basidiodendron caesiocinereum
Basidiodendron cinerellum
Basidiodendron cinereum
Basidiodendron cremeum
Basidiodendron deminutum
Basidiodendron eyrei
Basidiodendron farinaceum
Basidiodendron minutisporum
Basidiodendron nikau
Basidiodendron pini
Basidiodendron rimosum
Basidiodendron spinosum
Beenakia hololeuca
Beenakia informis
Beenakia mediterranea
Berkcurtia persicina
Binderoboletus segoi
Bjerkandera adusta
Bjerkandera fumosa
Bolbitius titubans
Boletellus ananas
Boletellus areolatus
Boletellus aurocontextus
Boletellus badiovinosus
Boletellus belizensis
Boletellus brunoflavus
Boletellus cardinalicius
Boletellus catalaunicus
Boletellus chrysenteroides
Boletellus coccineus
Boletellus corneri
Boletellus cremeovelosus
Boletellus cyanescens
Boletellus deceptivus
Boletellus dicymbophilus
Boletellus dissiliens
Boletellus domingensis
Boletellus elatus
Boletellus emodensis
Boletellus episcopalis
Boletellus exiguus
Boletellus fanjingensis
Boletellus fibuliger
Boletellus flocculosipes
Boletellus floriformis
Boletellus fujianensis
Boletellus immutabilis
Boletellus indistinctus
Boletellus jalapensis
Boletellus lepidospora
Boletellus lepidosporus
Boletellus lignicola
Boletellus linderi
Boletellus longipes
Boletellus nordestinus
Boletellus obscurecoccineus
Boletellus piakaii
Boletellus plurigibbus
Boletellus pseudochrysenteroides
Boletellus puniceus
Boletellus pustulatus
Boletellus putuoensis
Boletellus radiatus
Boletellus reminiscens
Boletellus ridiculus
Boletellus rubrolutescens
Boletellus rubroviolaceus
Boletellus serpentipileus
Boletellus shoreae
